Epoch: 0; Loss: 2.210365319611333; MAP: 0.25411486625671387; Best_MAP: 0.25411486625671387; Tiny_MAP: 0.2534674108028412; Best_Tiny_MAP: 0.2534674108028412
Epoch: 1; Loss: 2.100664515867301; MAP: 0.26340439915657043; Best_MAP: 0.26340439915657043; Tiny_MAP: 0.26277869939804077; Best_Tiny_MAP: 0.26277869939804077
Epoch: 2; Loss: 2.0862654570146657; MAP: 0.3183491826057434; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.3178026080131531; Best_Tiny_MAP: 0.3178026080131531
Epoch: 3; Loss: 2.0923347793360976; MAP: 0.2581225037574768; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.25758254528045654; Best_Tiny_MAP: 0.3178026080131531
Epoch: 4; Loss: 2.066469413908661; MAP: 0.3114832639694214; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.31068354845046997; Best_Tiny_MAP: 0.3178026080131531
Epoch: 5; Loss: 2.055976847067792; MAP: 0.26941949129104614; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.2683930993080139; Best_Tiny_MAP: 0.3178026080131531
Epoch: 6; Loss: 2.051399788429551; MAP: 0.24321381747722626; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.24244993925094604; Best_Tiny_MAP: 0.3178026080131531
Epoch: 7; Loss: 2.0294217590955976; MAP: 0.2818315625190735; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.28104469180107117; Best_Tiny_MAP: 0.3178026080131531
Epoch: 8; Loss: 2.0282147764525513; MAP: 0.26365023851394653; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.26292896270751953; Best_Tiny_MAP: 0.3178026080131531
Epoch: 9; Loss: 2.019432687378944; MAP: 0.27912023663520813; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.27835220098495483; Best_Tiny_MAP: 0.3178026080131531
Epoch: 10; Loss: 2.0065384554736156; MAP: 0.26076871156692505; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.25954297184944153; Best_Tiny_MAP: 0.3178026080131531
Epoch: 11; Loss: 2.000638761418931; MAP: 0.3029687702655792; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.3022555112838745; Best_Tiny_MAP: 0.3178026080131531
Epoch: 12; Loss: 2.0095613322993544; MAP: 0.26867854595184326; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.26763033866882324; Best_Tiny_MAP: 0.3178026080131531
Epoch: 13; Loss: 1.9924981221028253; MAP: 0.29005923867225647; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.2889728546142578; Best_Tiny_MAP: 0.3178026080131531
Epoch: 14; Loss: 1.9933685436316415; MAP: 0.31416499614715576; Best_MAP: 0.3183491826057434; Tiny_MAP: 0.3134703040122986; Best_Tiny_MAP: 0.3178026080131531
